# unix_начало	unix_конец	серия	режим	проход	направление	N	отрисовок	GPU мед	CPU мед	кадров	к/с	сверх бюджета
1789398498.994	1789398501.495	вызовы	off	1	вниз	400	400	5.594	1.138	135	90.0	0
1789398502.119	1789398504.619	вызовы	off	1	вниз	350	350	3.992	0.741	135	90.0	0
1789398505.252	1789398507.773	вызовы	off	1	вниз	300	300	4.193	0.466	136	90.0	0
1789398508.397	1789398510.908	вызовы	off	1	вниз	200	200	4.224	0.408	136	90.0	0
1789398511.509	1789398514.011	вызовы	off	1	вниз	100	100	3.269	0.276	135	89.9	0
1789398514.533	1789398517.033	вызовы	off	1	вниз	0	0	2.899	0.124	135	90.0	0
1789398518.545	1789398521.045	инстансы	off	0	вверх	0	0	2.906	0.127	135	90.0	0
1789398521.645	1789398524.156	инстансы	off	0	вверх	25	1	2.911	0.145	135	89.9	0
1789398524.768	1789398527.267	инстансы	off	0	вверх	50	1	2.884	0.137	135	90.0	0
1789398527.867	1789398530.368	инстансы	off	0	вверх	75	1	2.888	0.141	135	89.9	0
1789398530.979	1789398533.490	инстансы	off	0	вверх	100	1	2.901	0.141	135	89.9	0
1789398534.101	1789398536.602	инстансы	off	0	вверх	150	1	2.898	0.145	135	90.0	0
1789398537.213	1789398539.724	инстансы	off	0	вверх	200	1	2.894	0.141	135	89.9	0
1789398540.335	1789398542.835	инстансы	off	0	вверх	400	1	2.903	0.141	135	90.0	0
1789398543.436	1789398545.936	инстансы	off	0	вверх	800	1	2.907	0.139	135	90.0	0
1789398546.547	1789398549.047	инстансы	off	0	вверх	1600	1	2.944	0.141	135	89.9	0
1789398549.658	1789398552.158	инстансы	off	1	вниз	1600	1	2.935	0.145	135	90.0	0
1789398552.768	1789398555.270	инстансы	off	1	вниз	800	1	2.858	0.134	135	90.0	0
1789398555.870	1789398558.371	инстансы	off	1	вниз	400	1	2.659	0.132	135	90.0	0
1789398558.970	1789398561.470	инстансы	off	1	вниз	200	1	2.909	0.139	135	90.0	0
1789398562.081	1789398564.582	инстансы	off	1	вниз	150	1	2.875	0.140	135	90.0	0
1789398565.193	1789398567.693	инстансы	off	1	вниз	100	1	2.882	0.140	135	89.9	0
1789398568.293	1789398570.793	инстансы	off	1	вниз	75	1	2.874	0.142	135	90.0	0
1789398571.393	1789398573.904	инстансы	off	1	вниз	50	1	2.915	0.141	136	90.1	0
1789398574.514	1789398577.016	инстансы	off	1	вниз	25	1	2.880	0.144	135	90.0	0
1789398577.538	1789398580.038	инстансы	off	1	вниз	0	0	2.881	0.125	135	90.0	0
