# сэмплер частоты GPU, период 0.25 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789277103.868413627	492000000	17	0 21667811 23166543 49462070 698648355 1767589298 0 64765 0 714718 
1789277104.163679542	492000000	17	0 21667811 23166543 49462070 698699182 1767589298 0 64765 0 714718 
1789277104.460671655	492000000	17	0 21667811 23166543 49462070 698749985 1767589298 0 64765 0 714718 
1789277104.757336424	492000000	17	0 21667811 23166543 49462070 698801748 1767589298 0 64765 0 714718 
1789277105.053118432	492000000	17	0 21667811 23166543 49462070 698852186 1767589298 0 64765 0 714718 
1789277105.348600962	492000000	17	0 21667811 23166543 49462070 698903187 1767589298 0 64765 0 714718 
1789277105.646510210	492000000	17	0 21667811 23166543 49462070 698956239 1767589298 0 64765 0 714718 
1789277105.949366595	492000000	17	0 21667811 23166543 49462070 699011421 1767589298 0 64765 0 714718 
1789277106.292593348	492000000	17	0 21667811 23166543 49462070 699130866 1767589298 0 64765 0 714718 
1789277106.589837179	599000000	17	0 21667811 23177581 49462070 699223585 1767589298 0 64765 0 714718 
1789277106.896174918	599000000	29	0 21667811 23260195 49462070 699223585 1767589298 0 64765 0 714718 
1789277107.197290677	599000000	29	0 21667811 23349843 49462070 699223585 1767589298 0 64765 0 714718 
1789277107.491106592	599000000	29	0 21667811 23439130 49462070 699223585 1767589298 0 64765 0 714718 
1789277107.782487402	599000000	31	0 21667811 23579464 49462070 699223585 1767589298 0 64765 0 714718 
1789277108.077377952	599000000	31	0 21667811 23754636 49462070 699223585 1767589298 0 64765 0 714718 
1789277108.370067929	599000000	31	0 21667811 23935524 49462070 699223585 1767589298 0 64765 0 714718 
1789277108.661378323	599000000	31	0 21667811 24113568 49462070 699223585 1767589298 0 64765 0 714718 
1789277108.953175488	545000000	61	0 21667811 24175011 49532995 699223585 1767589298 0 64765 0 714718 
1789277109.244721298	545000000	61	0 21667811 24175011 49663969 699223585 1767589298 0 64765 0 714718 
1789277109.542622890	545000000	61	0 21667811 24175011 49796759 699223585 1767589298 0 64765 0 714718 
1789277109.838574117	545000000	44	0 21667811 24175011 49925468 699223585 1767589298 0 64765 0 714718 
1789277110.133804980	492000000	44	0 21667811 24175011 49949066 699339927 1767589298 0 64765 0 714718 
1789277110.434042562	492000000	44	0 21667811 24175011 49949066 699469006 1767589298 0 64765 0 714718 
1789277110.732538009	492000000	45	0 21667811 24175011 49949066 699615308 1767589298 0 64765 0 714718 
1789277111.031505955	456000000	45	0 21667811 24175011 49949066 699692959 1767651618 0 64765 0 714718 
1789277111.332737652	456000000	45	0 21667811 24175011 49949066 699692959 1767760691 0 64765 0 714718 
1789277111.635654296	456000000	45	0 21667811 24175011 49949066 699692959 1767870960 0 64765 0 714718 
1789277111.935920993	456000000	40	0 21667811 24175011 49949066 699692959 1767981462 0 64765 0 714718 
1789277112.236792846	456000000	40	0 21667811 24175011 49949066 699692959 1768091083 0 64765 0 714718 
1789277112.532604177	456000000	40	0 21667811 24175011 49949066 699692959 1768200807 0 64765 0 714718 
1789277112.831974051	456000000	37	0 21667811 24175011 49949066 699692959 1768311655 0 64765 0 714718 
1789277113.125292934	456000000	37	0 21667811 24175011 49949066 699692959 1768447857 0 64765 0 714718 
1789277113.422644839	456000000	37	0 21667811 24175011 49949066 699692959 1768594798 0 64765 0 714718 
1789277113.718940754	456000000	45	0 21667811 24175011 49949066 699692959 1768734003 0 64765 0 714718 
1789277114.020535419	456000000	45	0 21667811 24175011 49949066 699692959 1768870760 0 64765 0 714718 
1789277114.318541282	456000000	45	0 21667811 24175011 49949066 699692959 1769006823 0 64765 0 714718 
1789277114.617709541	456000000	45	0 21667811 24175011 49949066 699692959 1769144075 0 64765 0 714718 
1789277114.919628790	456000000	45	0 21667811 24175011 49949066 699692959 1769284659 0 64765 0 714718 
1789277115.222809966	456000000	45	0 21667811 24175011 49949066 699692959 1769428406 0 64765 0 714718 
1789277115.525107965	456000000	45	0 21667811 24175011 49949066 699692959 1769552155 0 64765 0 714718 
1789277115.823514245	456000000	45	0 21667811 24175011 49949066 699692959 1769698444 0 64765 0 714718 
1789277116.127979015	456000000	45	0 21667811 24175011 49949066 699692959 1769867771 0 64765 0 714718 
1789277116.431684201	456000000	45	0 21667811 24175011 49949066 699692959 1770018122 0 64765 0 714718 
1789277116.732414804	456000000	51	0 21667811 24175011 49949066 699692959 1770168250 0 64765 0 714718 
1789277117.031317438	456000000	51	0 21667811 24175011 49949066 699692959 1770319739 0 64765 0 714718 
1789277117.332186479	456000000	51	0 21667811 24175011 49949066 699692959 1770476142 0 64765 0 714718 
1789277117.635339113	456000000	51	0 21667811 24175011 49949066 699692959 1770641629 0 64765 0 714718 
1789277117.938523258	456000000	52	0 21667811 24175011 49949066 699692959 1770808269 0 64765 0 714718 
1789277118.246358653	456000000	52	0 21667811 24175011 49949066 699692959 1770946317 0 64765 0 714718 
1789277118.544152953	456000000	52	0 21667811 24175011 49949066 699692959 1771113636 0 64765 0 714718 
1789277118.846082723	456000000	51	0 21667811 24175011 49949066 699692959 1771263280 0 64765 0 714718 
1789277119.145165878	456000000	51	0 21667811 24175011 49949066 699692959 1771443625 0 64765 0 714718 
1789277119.449796117	456000000	51	0 21667811 24175011 49949066 699692959 1771639604 0 64765 0 714718 
1789277119.766542867	456000000	59	0 21667811 24175011 49949066 699692959 1771836559 0 64765 0 714718 
1789277120.069255501	456000000	59	0 21667811 24175011 49949066 699692959 1772027750 0 64765 0 714718 
1789277120.376163917	456000000	59	0 21667811 24175011 49949066 699692959 1772222119 0 64765 0 714718 
1789277120.682117385	456000000	59	0 21667811 24175011 49949066 699692959 1772346898 0 64765 0 714718 
1789277120.976613717	456000000	56	0 21667811 24175011 49949066 699692959 1772545726 0 64765 0 714718 
1789277121.290140935	456000000	56	0 21667811 24175011 49949066 699692959 1772759656 0 64765 0 714718 
1789277121.588334350	456000000	56	0 21667811 24175011 49949066 699692959 1772970030 0 64765 0 714718 
1789277121.887624276	456000000	68	0 21667811 24175011 49949066 699692959 1773184569 0 64765 0 714718 
1789277122.182789514	456000000	68	0 21667811 24175011 49949066 699692959 1773391789 0 64765 0 714718 
1789277122.481359648	456000000	68	0 21667811 24175011 49949066 699692959 1773606836 0 64765 0 714718 
