unix_t	window	slot	hand	tracked	curl_index	curl_middle	curl_ring	curl_pinky	pinch_m	palm_head	palm_y_head	cls	hi_pinch	hi_grasp	aim_pinch	aim_menu	aim_pose
1789399273.9810	rest		L	1	0.0017	0.0016	0.0004	0.0045	0.1124	0.9819	-0.2158		0	0	0	0	1
1789399273.9810	rest		R	1	0.0011	0.0021	0.0004	0.0021	0.1140	0.9810	-0.2212		0	0	0	0	1
1789399273.9919	rest		L	1	0.0017	0.0016	0.0004	0.0045	0.1124	0.9819	-0.2158		0	0	0	0	1
1789399273.9919	rest		R	1	0.0011	0.0021	0.0004	0.0021	0.1140	0.9810	-0.2215		0	0	0	0	1
1789399274.0030	rest		L	1	0.0017	0.0016	0.0004	0.0045	0.1124	0.9819	-0.2158		0	0	0	0	1
1789399274.0030	rest		R	1	0.0011	0.0021	0.0004	0.0021	0.1141	0.9809	-0.2218		0	0	0	0	1
1789399274.0142	rest		L	1	0.0017	0.0016	0.0004	0.0045	0.1125	0.9819	-0.2159		0	0	0	0	1
1789399274.0142	rest		R	1	0.0011	0.0021	0.0004	0.0021	0.1141	0.9809	-0.2222		0	0	0	0	1
1789399274.0252	rest		L	1	0.0017	0.0016	0.0004	0.0045	0.1125	0.9819	-0.2159		0	0	0	0	1
1789399274.0252	rest		R	1	0.0011	0.0021	0.0004	0.0021	0.1142	0.9808	-0.2225		0	0	0	0	1
1789399274.0361	rest		L	1	0.0017	0.0016	0.0004	0.0045	0.1125	0.9819	-0.2159		0	0	0	0	1
1789399274.0361	rest		R	1	0.0011	0.0021	0.0004	0.0021	0.1142	0.9808	-0.2223		0	0	0	0	1
1789399274.0473	rest		L	1	0.0017	0.0016	0.0004	0.0045	0.1126	0.9819	-0.2159		0	0	0	0	1
1789399274.0473	rest		R	1	0.0011	0.0021	0.0004	0.0021	0.1143	0.9808	-0.2224		0	0	0	0	1
1789399274.0583	rest		L	1	0.0017	0.0016	0.0004	0.0045	0.1126	0.9818	-0.2160		0	0	0	0	1
1789399274.0583	rest		R	1	0.0011	0.0021	0.0004	0.0021	0.1143	0.9808	-0.2224		0	0	0	0	1
1789399274.0696	rest		L	1	0.0017	0.0016	0.0004	0.0045	0.1127	0.9818	-0.2160		0	0	0	0	1
1789399274.0696	rest		R	1	0.0011	0.0021	0.0004	0.0021	0.1144	0.9808	-0.2225		0	0	0	0	1
1789399274.0804	rest		L	1	0.0017	0.0016	0.0004	0.0044	0.1126	0.9817	-0.2168		0	0	0	0	1
1789399274.0804	rest		R	1	0.0011	0.0021	0.0004	0.0021	0.1143	0.9807	-0.2229		0	0	0	0	1
1789399274.0917	rest		L	1	0.0017	0.0016	0.0004	0.0044	0.1127	0.9816	-0.2172		0	0	0	0	1
1789399274.0917	rest		R	1	0.0011	0.0021	0.0004	0.0021	0.1143	0.9807	-0.2231		0	0	0	0	1
1789399274.1025	rest		L	1	0.0017	0.0016	0.0004	0.0044	0.1127	0.9815	-0.2176		0	0	0	0	1
1789399274.1025	rest		R	1	0.0011	0.0021	0.0004	0.0021	0.1143	0.9806	-0.2233		0	0	0	0	1
1789399274.1136	rest		L	1	0.0017	0.0016	0.0004	0.0044	0.1127	0.9814	-0.2182		0	0	0	0	1
1789399274.1136	rest		R	1	0.0011	0.0021	0.0004	0.0021	0.1144	0.9807	-0.2230		0	0	0	0	1
1789399274.1248	rest		L	1	0.0017	0.0016	0.0004	0.0043	0.1127	0.9812	-0.2187		0	0	0	0	1
1789399274.1248	rest		R	1	0.0011	0.0021	0.0004	0.0021	0.1144	0.9807	-0.2229		0	0	0	0	1
1789399274.1360	rest		L	1	0.0017	0.0016	0.0004	0.0043	0.1127	0.9811	-0.2193		0	0	0	0	1
1789399274.1360	rest		R	1	0.0011	0.0021	0.0004	0.0021	0.1144	0.9808	-0.2228		0	0	0	0	1
1789399274.1471	rest		L	1	0.0017	0.0016	0.0004	0.0043	0.1127	0.9810	-0.2198		0	0	0	0	1
1789399274.1471	rest		R	1	0.0011	0.0021	0.0004	0.0021	0.1144	0.9808	-0.2227		0	0	0	0	1
1789399274.1582	rest		L	1	0.0017	0.0016	0.0004	0.0042	0.1127	0.9810	-0.2201		0	0	0	0	1
1789399274.1582	rest		R	1	0.0011	0.0021	0.0004	0.0022	0.1144	0.9808	-0.2228		0	0	0	0	1
1789399274.1694	rest		L	1	0.0017	0.0016	0.0004	0.0042	0.1127	0.9809	-0.2205		0	0	0	0	1
1789399274.1694	rest		R	1	0.0011	0.0021	0.0004	0.0022	0.1144	0.9808	-0.2228		0	0	0	0	1
1789399274.1807	rest		L	1	0.0017	0.0016	0.0004	0.0042	0.1127	0.9808	-0.2210		0	0	0	0	1
1789399274.1807	rest		R	1	0.0011	0.0021	0.0004	0.0022	0.1144	0.9808	-0.2228		0	0	0	0	1
1789399274.1917	rest		L	1	0.0017	0.0016	0.0004	0.0041	0.1127	0.9808	-0.2208		0	0	0	0	1
1789399274.1917	rest		R	1	0.0011	0.0021	0.0004	0.0022	0.1145	0.9807	-0.2232		0	0	0	0	1
1789399274.2027	rest		L	1	0.0017	0.0016	0.0004	0.0040	0.1127	0.9809	-0.2206		0	0	0	0	1
1789399274.2027	rest		R	1	0.0011	0.0021	0.0004	0.0022	0.1145	0.9807	-0.2233		0	0	0	0	1
1789399274.2137	rest		L	1	0.0017	0.0016	0.0004	0.0040	0.1127	0.9809	-0.2204		0	0	0	0	1
1789399274.2137	rest		R	1	0.0011	0.0021	0.0004	0.0022	0.1145	0.9807	-0.2233		0	0	0	0	1
1789399274.2251	rest		L	1	0.0017	0.0016	0.0004	0.0039	0.1127	0.9809	-0.2202		0	0	0	0	1
1789399274.2251	rest		R	1	0.0011	0.0021	0.0004	0.0022	0.1145	0.9807	-0.2235		0	0	0	0	1
1789399274.2359	rest		L	1	0.0017	0.0017	0.0004	0.0039	0.1127	0.9809	-0.2208		0	0	0	0	1
1789399274.2359	rest		R	1	0.0011	0.0021	0.0004	0.0022	0.1145	0.9806	-0.2238		0	0	0	0	1
1789399274.2472	rest		L	1	0.0017	0.0017	0.0004	0.0038	0.1128	0.9808	-0.2210		0	0	0	0	1
1789399274.2472	rest		R	1	0.0011	0.0021	0.0004	0.0022	0.1145	0.9805	-0.2242		0	0	0	0	1
1789399274.2583	rest		L	1	0.0017	0.0017	0.0003	0.0038	0.1128	0.9808	-0.2213		0	0	0	0	1
1789399274.2583	rest		R	1	0.0011	0.0021	0.0004	0.0022	0.1145	0.9805	-0.2245		0	0	0	0	1
1789399274.2695	rest		L	1	0.0017	0.0017	0.0003	0.0037	0.1128	0.9807	-0.2216		0	0	0	0	1
1789399274.2695	rest		R	1	0.0011	0.0021	0.0004	0.0022	0.1146	0.9804	-0.2248		0	0	0	0	1
1789399274.2801	rest		L	1	0.0017	0.0017	0.0003	0.0037	0.1128	0.9806	-0.2220		0	0	0	0	1
1789399274.2801	rest		R	1	0.0011	0.0021	0.0004	0.0022	0.1146	0.9801	-0.2263		0	0	0	0	1
1789399274.2915	rest		L	1	0.0016	0.0017	0.0003	0.0036	0.1128	0.9806	-0.2223		0	0	0	0	1
1789399274.2915	rest		R	1	0.0011	0.0021	0.0004	0.0022	0.1147	0.9799	-0.2272		0	0	0	0	1
1789399274.3028	rest		L	1	0.0016	0.0017	0.0003	0.0036	0.1127	0.9805	-0.2226		0	0	0	0	1
1789399274.3028	rest		R	1	0.0011	0.0021	0.0004	0.0023	0.1147	0.9797	-0.2281		0	0	0	0	1
1789399274.3138	rest		L	1	0.0016	0.0017	0.0003	0.0036	0.1127	0.9806	-0.2224		0	0	0	0	1
1789399274.3138	rest		R	1	0.0011	0.0021	0.0004	0.0023	0.1147	0.9797	-0.2285		0	0	0	0	1
1789399274.3249	rest		L	1	0.0016	0.0017	0.0003	0.0035	0.1127	0.9806	-0.2223		0	0	0	0	1
1789399274.3249	rest		R	1	0.0011	0.0021	0.0003	0.0023	0.1147	0.9796	-0.2289		0	0	0	0	1
1789399274.3361	rest		L	1	0.0016	0.0017	0.0003	0.0035	0.1127	0.9806	-0.2222		0	0	0	0	1
1789399274.3361	rest		R	1	0.0011	0.0021	0.0003	0.0023	0.1148	0.9795	-0.2293		0	0	0	0	1
1789399274.3472	rest		L	1	0.0016	0.0017	0.0003	0.0035	0.1127	0.9806	-0.2222		0	0	0	0	1
1789399274.3472	rest		R	1	0.0011	0.0021	0.0003	0.0023	0.1148	0.9794	-0.2299		0	0	0	0	1
1789399274.3582	rest		L	1	0.0016	0.0017	0.0003	0.0034	0.1127	0.9805	-0.2227		0	0	0	0	1
1789399274.3582	rest		R	1	0.0011	0.0021	0.0003	0.0023	0.1148	0.9793	-0.2300		0	0	0	0	1
1789399274.3695	rest		L	1	0.0016	0.0017	0.0003	0.0034	0.1127	0.9805	-0.2230		0	0	0	0	1
1789399274.3695	rest		R	1	0.0011	0.0021	0.0003	0.0023	0.1147	0.9793	-0.2303		0	0	0	0	1
1789399274.3806	rest		L	1	0.0016	0.0017	0.0003	0.0034	0.1127	0.9804	-0.2233		0	0	0	0	1
1789399274.3806	rest		R	1	0.0011	0.0021	0.0003	0.0023	0.1147	0.9792	-0.2307		0	0	0	0	1
1789399274.3916	rest		L	1	0.0016	0.0017	0.0003	0.0034	0.1126	0.9804	-0.2233		0	0	0	0	1
1789399274.3916	rest		R	1	0.0011	0.0021	0.0003	0.0023	0.1148	0.9791	-0.2312		0	0	0	0	1
1789399274.4026	rest		L	1	0.0016	0.0017	0.0003	0.0034	0.1126	0.9804	-0.2234		0	0	0	0	1
1789399274.4026	rest		R	1	0.0011	0.0021	0.0003	0.0023	0.1148	0.9790	-0.2317		0	0	0	0	1
1789399274.4138	rest		L	1	0.0016	0.0017	0.0003	0.0033	0.1126	0.9804	-0.2235		0	0	0	0	1
1789399274.4138	rest		R	1	0.0011	0.0021	0.0003	0.0023	0.1148	0.9789	-0.2323		0	0	0	0	1
1789399274.4249	rest		L	1	0.0016	0.0017	0.0003	0.0033	0.1126	0.9804	-0.2235		0	0	0	0	1
1789399274.4249	rest		R	1	0.0011	0.0021	0.0003	0.0023	0.1149	0.9788	-0.2328		0	0	0	0	1
1789399274.4361	rest		L	1	0.0016	0.0018	0.0003	0.0033	0.1126	0.9804	-0.2234		0	0	0	0	1
1789399274.4361	rest		R	1	0.0011	0.0021	0.0003	0.0023	0.1149	0.9788	-0.2326		0	0	0	0	1
1789399274.4470	rest		L	1	0.0016	0.0018	0.0003	0.0032	0.1126	0.9805	-0.2233		0	0	0	0	1
1789399274.4470	rest		R	1	0.0011	0.0021	0.0003	0.0023	0.1149	0.9788	-0.2326		0	0	0	0	1
1789399274.4582	rest		L	1	0.0016	0.0018	0.0003	0.0032	0.1125	0.9805	-0.2231		0	0	0	0	1
1789399274.4582	rest		R	1	0.0011	0.0021	0.0003	0.0023	0.1149	0.9788	-0.2326		0	0	0	0	1
1789399274.4694	rest		L	1	0.0016	0.0018	0.0003	0.0032	0.1125	0.9805	-0.2231		0	0	0	0	1
1789399274.4694	rest		R	1	0.0011	0.0021	0.0003	0.0023	0.1149	0.9788	-0.2327		0	0	0	0	1
