unix_t	window	slot	hand	tracked	curl_index	curl_middle	curl_ring	curl_pinky	pinch_m	palm_head	palm_y_head	cls	hi_pinch	hi_grasp	aim_pinch	aim_menu	aim_pose
1789353987.1451	rest		L	1	0.0032	0.0016	0.0035	0.0138	0.0973	-0.8160	0.1540		0	0	0	0	0
1789353987.1451	rest		R	1	0.0051	0.0022	0.0036	0.0101	0.0961	-0.8135	0.1161		0	0	0	0	0
1789353987.1563	rest		L	1	0.0031	0.0016	0.0034	0.0138	0.0973	-0.8173	0.1517		0	0	0	0	0
1789353987.1563	rest		R	1	0.0050	0.0022	0.0035	0.0100	0.0962	-0.8134	0.1157		0	0	0	0	0
1789353987.1673	rest		L	1	0.0031	0.0016	0.0034	0.0139	0.0972	-0.8143	0.1546		0	0	0	0	0
1789353987.1673	rest		R	1	0.0050	0.0022	0.0035	0.0100	0.0962	-0.8132	0.1157		0	0	0	0	0
1789353987.1784	rest		L	1	0.0030	0.0016	0.0034	0.0139	0.0972	-0.8137	0.1546		0	0	0	0	0
1789353987.1784	rest		R	1	0.0049	0.0022	0.0034	0.0099	0.0963	-0.8131	0.1154		0	0	0	0	0
1789353987.1893	rest		L	1	0.0030	0.0016	0.0033	0.0139	0.0971	-0.8130	0.1546		0	0	0	0	0
1789353987.1893	rest		R	1	0.0049	0.0021	0.0034	0.0098	0.0964	-0.8129	0.1152		0	0	0	0	0
1789353987.2003	rest		L	1	0.0030	0.0016	0.0034	0.0139	0.0971	-0.8132	0.1525		0	0	0	0	0
1789353987.2003	rest		R	1	0.0048	0.0021	0.0033	0.0098	0.0966	-0.8127	0.1150		0	0	0	0	0
1789353987.2113	rest		L	1	0.0030	0.0016	0.0034	0.0139	0.0971	-0.8130	0.1512		0	0	0	0	0
1789353987.2113	rest		R	1	0.0048	0.0021	0.0033	0.0098	0.0967	-0.8125	0.1147		0	0	0	0	0
1789353987.2225	rest		L	1	0.0030	0.0016	0.0034	0.0139	0.0971	-0.8129	0.1499		0	0	0	0	0
1789353987.2225	rest		R	1	0.0047	0.0020	0.0032	0.0097	0.0969	-0.8122	0.1145		0	0	0	0	0
1789353987.2337	rest		L	1	0.0030	0.0016	0.0034	0.0139	0.0971	-0.8127	0.1485		0	0	0	0	0
1789353987.2337	rest		R	1	0.0047	0.0020	0.0032	0.0097	0.0970	-0.8120	0.1142		0	0	0	0	0
1789353987.2446	rest		L	1	0.0030	0.0016	0.0033	0.0139	0.0969	-0.8108	0.1500		0	0	0	0	0
1789353987.2446	rest		R	1	0.0047	0.0020	0.0032	0.0096	0.0969	-0.8109	0.1136		0	0	0	0	0
1789353987.2559	rest		L	1	0.0030	0.0016	0.0033	0.0139	0.0968	-0.8098	0.1500		0	0	0	0	0
1789353987.2559	rest		R	1	0.0046	0.0020	0.0032	0.0096	0.0969	-0.8102	0.1132		0	0	0	0	0
