# unix_начало	unix_конец	серия	режим	проход	направление	N	отрисовок	GPU мед	CPU мед	кадров	к/с	сверх бюджета
1789398884.195	1789398886.695	инстансы	off	0	вверх	1600	1	2.894	0.135	135	90.0	0
1789398887.295	1789398889.795	инстансы	off	1	вниз	1600	1	2.923	0.135	135	90.0	0
1789398890.406	1789398892.906	инстансы	off	1	вниз	800	1	2.891	0.140	135	90.0	0
1789398893.514	1789398896.018	инстансы	off	1	вниз	400	1	2.881	0.134	135	89.9	0
1789398896.618	1789398899.118	инстансы	off	1	вниз	200	1	2.915	0.139	135	90.0	0
1789398899.729	1789398902.240	инстансы	off	1	вниз	150	1	2.877	0.138	135	89.9	0
1789398902.851	1789398905.372	инстансы	off	1	вниз	100	1	2.853	0.142	136	90.1	0
1789398905.985	1789398908.485	инстансы	off	1	вниз	75	1	2.885	0.141	135	90.0	0
1789398909.096	1789398911.608	инстансы	off	1	вниз	50	1	2.882	0.138	135	89.9	0
1789398912.217	1789398914.728	инстансы	off	1	вниз	25	1	2.884	0.137	136	90.1	0
1789398915.250	1789398917.752	инстансы	off	1	вниз	0	0	2.905	0.121	135	90.0	0
