1789698548.923	folder	lens	14.5	8.8	8.8	2	face	files				{ "folder": "files", "view": "browse", "items": 5, "total": 5, "page": 1, "pages": 1 }
1789698548.924	intent	lens	14.5	8.8	8.8	2	face	files				{ "do": "reload", "view": "browse", "folder": "files" }
1789698549.821	folder	lens	14.5	8.8	8.8	2	face	bulk				{ "folder": "bulk", "view": "browse", "items": 128, "total": 128, "page": 1, "pages": 1 }
1789698549.822	intent	lens	14.5	8.8	8.8	2	face	bulk				{ "do": "reload", "view": "browse", "folder": "bulk" }
1789698557.790	сценарий_шаг	lens	14.5	8.8	8.8	2	face	bulk	labels	да	15968	
1789698576.648	folder	lens	14.5	8.8	8.8	2	face	files				{ "folder": "files", "view": "browse", "items": 5, "total": 5, "page": 1, "pages": 1 }
1789698576.648	intent	lens	14.5	8.8	8.8	2	face	files				{ "do": "reload", "view": "browse", "folder": "files" }
1789698578.792	folder	lens	14.5	8.8	8.8	2	face					{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789698578.792	intent	lens	14.5	8.8	8.8	2	face					{ "do": "reload", "view": "browse", "folder": "" }
1789698580.151	folder	lens	14.5	8.8	8.8	2	face	settings				{ "folder": "settings", "view": "browse", "items": 4, "total": 4, "page": 1, "pages": 1 }
1789698580.151	intent	lens	14.5	8.8	8.8	2	face	settings				{ "do": "reload", "view": "browse", "folder": "settings" }
1789698581.395	folder	lens	14.5	8.8	8.8	2	face	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
1789698581.395	intent	lens	14.5	8.8	8.8	2	face	settings_sphere				{ "do": "reload", "view": "browse", "folder": "settings_sphere" }
1789698585.017	настройка_открыта	lens	14.5	8.8	8.8	2	face	settings_sphere				cell_cm
1789698585.017	intent	lens	14.5	8.8	8.8	2	face	settings_sphere				{ "do": "edit", "view": "browse", "folder": "settings_sphere", "setting": "cell_cm" }
1789698588.072	folder	lens	14.5	4.0	4.0	7	face	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11, "total": 11, "page": 1, "pages": 1 }
1789698588.072	настройка_значение	lens	14.5	4.0	4.0	7	face	settings_sphere				cell_cm=4.0
1789698588.869	панель_кнопка	lens	14.5	4.0	4.0	7	face	settings_sphere				done
1789698588.870	настройка_сохранена	lens	14.5	4.0	4.0	7	face	settings_sphere				cell_cm=4.0
1789698591.382	folder	lens	14.5	4.0	4.0	7	face	settings				{ "folder": "settings", "view": "browse", "items": 4, "total": 4, "page": 1, "pages": 1 }
1789698591.382	intent	lens	14.5	4.0	4.0	7	face	settings				{ "do": "reload", "view": "browse", "folder": "settings" }
1789698592.749	folder	lens	14.5	4.0	4.0	7	face					{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789698592.749	intent	lens	14.5	4.0	4.0	7	face					{ "do": "reload", "view": "browse", "folder": "" }
1789698594.738	folder	lens	14.5	4.0	4.0	7	face	files				{ "folder": "files", "view": "browse", "items": 5, "total": 5, "page": 1, "pages": 1 }
1789698594.738	intent	lens	14.5	4.0	4.0	7	face	files				{ "do": "reload", "view": "browse", "folder": "files" }
1789698595.934	folder	lens	14.5	4.0	4.0	7	face	bulk				{ "folder": "bulk", "view": "browse", "items": 128, "total": 128, "page": 1, "pages": 1 }
1789698595.935	intent	lens	14.5	4.0	4.0	7	face	bulk				{ "do": "reload", "view": "browse", "folder": "bulk" }
1789698606.816	folder	lens	14.5	4.0	4.0	7	face	files				{ "folder": "files", "view": "browse", "items": 5, "total": 5, "page": 1, "pages": 1 }
1789698606.816	intent	lens	14.5	4.0	4.0	7	face	files				{ "do": "reload", "view": "browse", "folder": "files" }
1789698609.983	folder	lens	14.5	4.0	4.0	7	face					{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
