# сэмплер частоты GPU, период 0.25 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789311188.605861131	492000000	17	0 24058516 33330403 75492121 899687952 1988033331 0 64765 0 797589 
1789311188.901318296	492000000	17	0 24058516 33330403 75492121 899739727 1988033331 0 64765 0 797589 
1789311189.199300617	492000000	17	0 24058516 33330403 75492121 899792108 1988033331 0 64765 0 797589 
1789311189.498794241	492000000	17	0 24058516 33330403 75492121 899843391 1988033331 0 64765 0 797589 
1789311189.795996927	492000000	17	0 24058516 33330403 75492121 899895825 1988033331 0 64765 0 797589 
1789311190.093724404	492000000	17	0 24058516 33330403 75492121 899947242 1988033331 0 64765 0 797589 
1789311190.388936777	492000000	17	0 24058516 33330403 75492121 899999133 1988033331 0 64765 0 797589 
1789311190.685282536	492000000	17	0 24058516 33330403 75492121 900061962 1988033331 0 64765 0 797589 
1789311191.002309026	492000000	17	0 24058516 33330403 75492121 900167140 1988033331 0 64765 0 797589 
1789311191.302191608	599000000	17	0 24058516 33411362 75492121 900172916 1988033331 0 64765 0 797589 
1789311191.622786015	599000000	29	0 24058516 33508790 75492121 900172916 1988033331 0 64765 0 797589 
1789311191.926561201	599000000	29	0 24058516 33598349 75492121 900172916 1988033331 0 64765 0 797589 
1789311192.220245033	545000000	29	0 24058516 33670446 75510820 900172916 1988033331 0 64765 0 797589 
1789311192.512658187	545000000	29	0 24058516 33670446 75641972 900172916 1988033331 0 64765 0 797589 
1789311192.806658060	545000000	35	0 24058516 33670446 75833746 900172916 1988033331 0 64765 0 797589 
1789311193.101257985	545000000	35	0 24058516 33670446 76024040 900172916 1988033331 0 64765 0 797589 
1789311193.395002910	545000000	35	0 24058516 33670446 76216151 900172916 1988033331 0 64765 0 797589 
1789311193.688080856	492000000	64	0 24058516 33670446 76250723 900295946 1988033331 0 64765 0 797589 
1789311193.984171198	492000000	64	0 24058516 33670446 76250723 900440107 1988033331 0 64765 0 797589 
1789311194.280879873	492000000	64	0 24058516 33670446 76250723 900586074 1988033331 0 64765 0 797589 
1789311194.576942455	456000000	48	0 24058516 33670446 76250723 900719769 1988044757 0 64765 0 797589 
1789311194.871433318	456000000	48	0 24058516 33670446 76250723 900719769 1988198428 0 64765 0 797589 
1789311195.169363608	456000000	48	0 24058516 33670446 76250723 900719769 1988333135 0 64765 0 797589 
1789311195.464738429	456000000	48	0 24058516 33670446 76250723 900719769 1988487824 0 64765 0 797589 
1789311195.764659032	456000000	50	0 24058516 33670446 76250723 900719769 1988624957 0 64765 0 797589 
1789311196.067083280	456000000	50	0 24058516 33670446 76250723 900719769 1988753342 0 64765 0 797589 
1789311196.369533623	456000000	50	0 24058516 33670446 76250723 900719769 1988882262 0 64765 0 797589 
1789311196.668978028	456000000	42	0 24058516 33670446 76250723 900719769 1989009907 0 64765 0 797589 
1789311196.972558110	456000000	42	0 24058516 33670446 76250723 900719769 1989138741 0 64765 0 797589 
1789311197.275440849	456000000	42	0 24058516 33670446 76250723 900719769 1989268391 0 64765 0 797589 
1789311197.585188796	456000000	41	0 24058516 33670446 76250723 900719769 1989373527 0 64765 0 797589 
1789311197.880039555	456000000	41	0 24058516 33670446 76250723 900719769 1989484233 0 64765 0 797589 
1789311198.179952189	456000000	41	0 24058516 33670446 76250723 900719769 1989599291 0 64765 0 797589 
1789311198.480027583	456000000	41	0 24058516 33670446 76250723 900719769 1989733720 0 64765 0 797589 
1789311198.781471103	456000000	38	0 24058516 33670446 76250723 900719769 1989869777 0 64765 0 797589 
1789311199.094848530	456000000	38	0 24058516 33670446 76250723 900719769 1990005694 0 64765 0 797589 
1789311199.399380435	456000000	38	0 24058516 33670446 76250723 900719769 1990139008 0 64765 0 797589 
1789311199.699389736	456000000	44	0 24058516 33670446 76250723 900719769 1990268195 0 64765 0 797589 
1789311199.995869557	456000000	44	0 24058516 33670446 76250723 900719769 1990383921 0 64765 0 797589 
1789311200.300821150	456000000	44	0 24058516 33670446 76250723 900719769 1990490635 0 64765 0 797589 
1789311200.601339201	456000000	39	0 24058516 33670446 76250723 900719769 1990620919 0 64765 0 797589 
1789311200.903528137	456000000	39	0 24058516 33670446 76250723 900719769 1990774611 0 64765 0 797589 
1789311201.214556293	456000000	39	0 24058516 33670446 76250723 900719769 1990923437 0 64765 0 797589 
1789311201.511286844	456000000	39	0 24058516 33670446 76250723 900719769 1991047763 0 64765 0 797589 
1789311201.814922863	456000000	46	0 24058516 33670446 76250723 900719769 1991196210 0 64765 0 797589 
1789311202.122455655	456000000	46	0 24058516 33670446 76250723 900719769 1991342655 0 64765 0 797589 
1789311202.429593602	456000000	46	0 24058516 33670446 76250723 900719769 1991490146 0 64765 0 797589 
1789311202.738419049	456000000	48	0 24058516 33670446 76250723 900719769 1991644025 0 64765 0 797589 
1789311203.044419288	456000000	48	0 24058516 33670446 76250723 900719769 1991779487 0 64765 0 797589 
1789311203.346634995	456000000	48	0 24058516 33670446 76250723 900719769 1991946269 0 64765 0 797589 
1789311203.655668463	456000000	51	0 24058516 33670446 76250723 900719769 1992133175 0 64765 0 797589 
1789311203.963479484	456000000	51	0 24058516 33670446 76250723 900719769 1992331537 0 64765 0 797589 
