unix_начало	unix_конец	режим	повтор	N	отрисовок	GPU мед	CPU мед	кадров	к/с	сверх бюджета	клок_мед_МГц	клок_мин_МГц	клок_n	загрузка_%	FPS_прил	FPS_дисплей	Stale_сумма	ASW	Preempt_мед	Temp_C	vrapi_n
1789436852.321	1789436854.822	выкл	1	0	0	3.279	0.128	135	89.9	0	456	456	8	46	90	90	0	—	181	32.0	2
1789436855.521	1789436858.021	выкл	1	1600	1600	9.473	1.891	135	90.0	0	545	492	9	72	89	90	27	—	241	32.0	3
1789436860.587	1789436863.088	вкл	1	0	0	2.808	0.119	135	89.9	0	456	456	9	40	90	90	27	—	180	32.0	3
1789436863.759	1789436866.268	вкл	1	1600	1600	12.979	2.158	115	76.6	115	640	640	8	83	76	90	53	—	207	32.0	3
1789436868.852	1789436871.385	вкл+relax	1	0	0	3.635	0.208	68	45.0	0	456	456	8	27	45	90	0	—	178	32.0	3
1789436872.081	1789436874.607	вкл+relax	1	1600	1600	17.539	2.849	68	45.1	68	518	492	8	62	42	90	29	—	238	32.0	2
1789436877.207	1789436879.719	вкл+relax	2	0	0	3.648	0.173	68	45.0	0	456	456	8	28	45	90	0	—	185	32.0	2
1789436880.436	1789436882.962	вкл+relax	2	1600	1600	17.483	2.891	68	45.0	68	492	492	8	62	41	90	30	—	207	32.0	2
1789436885.523	1789436888.024	вкл	2	0	0	2.806	0.118	135	90.0	0	456	456	8	40	90	90	1	—	180	33.0	3
1789436888.710	1789436891.214	вкл	2	1600	1600	13.136	2.537	114	76.0	114	640	640	9	85	77	90	48	—	225	33.0	3
1789436893.781	1789436896.281	выкл	2	0	0	2.633	0.105	135	90.0	0	456	456	9	32	91	90	1	—	180	33.0	3
1789436896.981	1789436899.481	выкл	2	1600	1600	8.943	1.863	135	90.0	0	599	545	8	68	90	90	28	—	184	33.0	3
