# unix_время	событие	поверхность	радиус_см	ячейка_см	ячейка_факт_см	уровень_глобуса	вращение_рукой	папка	задание	попадание	мс_от_задания	подробности
# сессия 2026-09-16T07:01:11
1789524072.040	folder	globe	20.0	1.5	3.52	13	ball					{ "folder": "", "view": "browse", "items": 6 }
1789524072.040	toggle	globe	20.0	1.5	3.52	13	ball					{ "open": true }
1789524103.927	настройка_значение	fib	8.0	1.5	1.49	26	ball					radius_cm=8.0
1789524103.954	настройка_значение	fib	17.5	1.5	3.04	27	ball					radius_cm=17.5
1789524108.810	toggle	globe	20.0	1.5	3.52	13	ball					{ "open": false }
1789524108.811	самопроверка	globe	20.0	1.5	3.52	13	ball			FAIL		{ "глобус уровень 13, 632 ячеек, вращение": { "gpu95": 2.84699988365173, "cpu95": 0.19300000369549, "proc95": 2.601, "over": 0 }, "глобус крупный: уровень 1, 32 ячеек, радиус 20.0 см, вращение": { "gpu95": 2.20799994468689, "cpu95": 0.24500000476837, "proc95": 2.231, "over": 0 }, "линза α=0.037, 700 ячеек, вращение": { "gpu95": 3.42700004577637, "cpu95": 0.16699999570847, "proc95": 68.104, "over": 0 } }
1789524118.713	folder	globe	11.5	7.3	8.66	1	ball					{ "folder": "", "view": "browse", "items": 6 }
1789524118.713	toggle	globe	11.5	7.3	8.66	1	ball					{ "open": true }
1789524123.429	folder	globe	11.5	7.3	8.66	1	ball	settings				{ "folder": "settings", "view": "browse", "items": 4 }
1789524123.430	intent	globe	11.5	7.3	8.66	1	ball	settings				{ "do": "reload", "view": "browse", "folder": "settings" }
1789524125.258	folder	globe	11.5	7.3	8.66	1	ball	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11 }
1789524125.260	intent	globe	11.5	7.3	8.66	1	ball	settings_sphere				{ "do": "reload", "view": "browse", "folder": "settings_sphere" }
1789524128.724	toggle	globe	11.5	7.3	8.66	1	ball	settings_sphere				{ "open": false }
1789524128.725	folder	globe	11.5	7.3	8.66	1	ball	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11 }
1789524128.725	toggle	globe	11.5	7.3	8.66	1	ball	settings_sphere				{ "open": true }
1789524128.725	мастер_старт	globe	11.5	7.3	8.66	1	ball	settings_sphere				
1789524128.734	intent	globe	11.5	7.3	8.66	1	ball	settings_sphere				{ "do": "wizard", "view": "browse", "folder": "settings_sphere" }
1789524131.502	мастер_значение	lens	11.5	7.3	7.3	1	ball	settings_sphere				surface=lens
1789524135.291	мастер_значение	globe_hex	11.5	7.3	8.66	1	ball	settings_sphere				surface=globe_hex
1789524143.504	мастер_значение	octa	11.5	7.3	7.31	5	ball	settings_sphere				surface=octa
1789524147.348	мастер_значение	rings	11.5	7.3	7.24	5	ball	settings_sphere				surface=rings
1789524153.370	мастер_значение	lens	11.5	7.3	7.3	1	ball	settings_sphere				surface=lens
1789524161.493	мастер_значение	fib	11.5	7.3	7.33	8	ball	settings_sphere				surface=fib
1789524161.581	intent	fib	11.5	7.3	7.33	8	ball	settings_sphere				{ "do": "edit", "view": "browse", "folder": "settings_sphere", "setting": "haptics" }
1789524184.707	мастер_значение	lens	11.5	7.3	7.3	1	ball	settings_sphere				surface=lens
1789524193.607	панель_кнопка	lens	11.5	7.3	7.3	1	ball	settings_sphere				next
1789524193.607	мастер_подтверждено	lens	11.5	7.3	7.3	1	ball	settings_sphere				surface
1789524196.296	мастер_значение	lens	11.5	7.3	7.3	1	stand	settings_sphere				hand_rotation=stand
1789524215.320	toggle	lens	11.5	7.3	7.3	1	stand	settings_sphere				{ "open": false }
1789524215.631	folder	lens	11.5	7.3	7.3	1	stand	settings_sphere				{ "folder": "settings_sphere", "view": "browse", "items": 11 }
1789524215.632	toggle	lens	11.5	7.3	7.3	1	stand	settings_sphere				{ "open": true }
1789524224.153	мастер_значение	lens	11.5	7.3	7.3	1	face	settings_sphere				hand_rotation=face
1789524233.009	мастер_значение	lens	11.5	7.3	7.3	1	ball	settings_sphere				hand_rotation=ball
1789524246.266	панель_кнопка	lens	11.5	7.3	7.3	1	ball	settings_sphere				next
1789524246.266	мастер_подтверждено	lens	11.5	7.3	7.3	1	ball	settings_sphere				hand_rotation
1789524249.467	мастер_значение	lens	12.0	7.3	7.3	2	ball	settings_sphere				radius_cm=12.0
1789524252.555	панель_кнопка	lens	12.0	7.3	7.3	2	ball	settings_sphere				next
1789524252.555	мастер_подтверждено	lens	12.0	7.3	7.3	2	ball	settings_sphere				radius_cm
1789524256.744	мастер_значение	lens	12.0	6.2	6.2	2	ball	settings_sphere				cell_cm=6.2
1789524256.767	мастер_значение	lens	12.0	6.1	6.1	2	ball	settings_sphere				cell_cm=6.1
1789524256.823	мастер_значение	lens	12.0	6.0	6.0	2	ball	settings_sphere				cell_cm=6.0
1789524256.856	мастер_значение	lens	12.0	5.9	5.9	3	ball	settings_sphere				cell_cm=5.9
1789524256.878	мастер_значение	lens	12.0	5.7	5.7	3	ball	settings_sphere				cell_cm=5.7
1789524256.889	мастер_значение	lens	12.0	5.6	5.6	3	ball	settings_sphere				cell_cm=5.6
