# unix_время	FPS_прил	FPS_дисплей	Stale	ASW	GPU_МГц	App_мс	CPU&GPU_мс	Preempt	Temp_C	GPU%	строка
1789437247.001	90	90	0		456	3.44	5.34	180	37.0	0.45	FPS=90/90,Prd=24ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1382/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1708MHz,Free=3396MB,PLS=0,Temp=37.0C/0.0C,TW=1.42ms,App=3.44ms,GD=0.00ms,CPU&GPU=5.34ms,LCnt=1(DR90,LM0),GPU%=0.45,CPU%=0.19(W0.21),CFL=12.89/16.92,ICFLp95=16.07,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=180,PoseAgeP95=0.00
1789437248.001	91	90	0		456	2.99	4.62	180	37.0	0.40	FPS=91/90,Prd=24ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1382/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1708MHz,Free=3396MB,PLS=0,Temp=37.0C/0.0C,TW=1.38ms,App=2.99ms,GD=0.00ms,CPU&GPU=4.62ms,LCnt=1(DR90,LM0),GPU%=0.40,CPU%=0.19(W0.22),CFL=12.72/16.73,ICFLp95=15.92,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=180,PoseAgeP95=0.00
1789437249.001	81	90	11		456	3.22	5.19	174	37.0	0.44	FPS=81/90,Prd=25ms,Tear=0,Early=10,Stale=11,Stale2/5/10/max=0/0/1/11,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1382/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1708MHz,Free=3396MB,PLS=0,Temp=37.0C/0.0C,TW=1.19ms,App=3.22ms,GD=0.00ms,CPU&GPU=5.19ms,LCnt=1(DR91,LM0),GPU%=0.44,CPU%=0.24(W0.28),CFL=12.67/17.14,ICFLp95=16.10,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=174,PoseAgeP95=0.00
1789437250.001	90	90	0		456	3.76	5.66	186	37.0	0.46	FPS=90/90,Prd=26ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1382/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1708MHz,Free=3396MB,PLS=0,Temp=37.0C/0.0C,TW=1.38ms,App=3.76ms,GD=0.00ms,CPU&GPU=5.66ms,LCnt=1(DR90,LM0),GPU%=0.46,CPU%=0.21(W0.25),CFL=12.84/16.99,ICFLp95=16.12,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=186,PoseAgeP95=0.00
1789437251.001	90	90	0		456	3.48	5.93	180	37.0	0.47	FPS=90/90,Prd=24ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1920/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1555MHz,Free=3396MB,PLS=0,Temp=37.0C/0.0C,TW=1.35ms,App=3.48ms,GD=0.00ms,CPU&GPU=5.93ms,LCnt=1(DR90,LM0),GPU%=0.47,CPU%=0.21(W0.29),CFL=12.78/16.98,ICFLp95=15.98,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=180,PoseAgeP95=0.00
1789437252.001	90	90	0		456	3.00	4.57	180	37.0	0.43	FPS=90/90,Prd=24ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1920/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1555MHz,Free=3396MB,PLS=0,Temp=37.0C/0.0C,TW=1.38ms,App=3.00ms,GD=0.00ms,CPU&GPU=4.57ms,LCnt=1(DR90,LM0),GPU%=0.43,CPU%=0.19(W0.25),CFL=12.80/16.81,ICFLp95=15.99,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=180,PoseAgeP95=0.00
1789437253.001	90	90	0		456	2.99	4.32	182	37.0	0.42	FPS=90/90,Prd=23ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1920/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1555MHz,Free=3396MB,PLS=0,Temp=37.0C/0.0C,TW=1.39ms,App=2.99ms,GD=0.00ms,CPU&GPU=4.32ms,LCnt=1(DR91,LM0),GPU%=0.42,CPU%=0.19(W0.24),CFL=12.72/16.79,ICFLp95=15.97,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=182,PoseAgeP95=0.00
1789437254.002	90	90	9		456	3.01	4.73	166	37.0	0.38	FPS=90/90,Prd=23ms,Tear=0,Early=6,Stale=9,Stale2/5/10/max=0/1/0/9,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1920/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1555MHz,Free=3396MB,PLS=0,Temp=37.0C/0.0C,TW=1.06ms,App=3.01ms,GD=0.00ms,CPU&GPU=4.73ms,LCnt=1(DR91,LM0),GPU%=0.38,CPU%=0.21(W0.26),CFL=12.82/16.99,ICFLp95=15.95,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=166,PoseAgeP95=0.00
1789437255.002	82	90	0		456	3.49	5.31	178	37.0	0.42	FPS=82/90,Prd=26ms,Tear=0,Early=18,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1920/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1555MHz,Free=3396MB,PLS=0,Temp=37.0C/0.0C,TW=1.40ms,App=3.49ms,GD=0.00ms,CPU&GPU=5.31ms,LCnt=1(DR90,LM0),GPU%=0.42,CPU%=0.20(W0.22),CFL=12.70/16.76,ICFLp95=15.94,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=178,PoseAgeP95=0.00
1789437256.029	91	90	0		456	2.97	5.94	184	37.0	0.43	FPS=91/90,Prd=24ms,Tear=0,Early=0,Stale=0,Stale2/5/10/max=0/0/0/0,VSnc=1,Lat=-4,Fov=0,CPU4/GPU=2/2,1920/456MHz,OC=3F,TA=0/38/0,SP=N/N/N,Mem=1555MHz,Free=3695MB,PLS=0,Temp=37.0C/0.0C,TW=1.44ms,App=2.97ms,GD=0.00ms,CPU&GPU=5.94ms,LCnt=1(DR91,LM0),GPU%=0.43,CPU%=0.29(W0.33),CFL=12.87/16.81,ICFLp95=16.04,LD=0,SF=1.00,DpuScale=1.00,LP=0,DVFS=0,Preempt=184,PoseAgeP95=0.00
