# секунда	частота	CPU мс	GPU мс	draw calls
186	72.0	1.620	10.778	1600
187	72.0	1.719	10.158	1600
188	72.0	1.767	10.529	1600
189	72.0	1.742	10.737	1600
190	72.0	1.652	10.846	1600
191	72.0	1.636	10.156	1600
192	72.0	1.658	10.354	1600
193	72.0	1.653	10.514	1600
194	72.0	1.628	10.477	1600
195	72.0	1.900	11.076	1600
196	72.0	1.843	8.249	1600
197	72.0	1.679	10.579	1600
198	72.0	1.515	10.439	1600
199	72.0	1.580	10.498	1600
200	72.0	1.536	10.195	1600
201	72.0	1.558	10.249	1600
202	72.0	1.575	10.469	1600
203	72.0	1.611	10.481	1600
204	72.0	1.643	10.599	1600
205	72.0	1.651	10.527	1600
206	72.0	1.562	10.979	1600
207	72.0	1.632	10.521	1600
208	72.0	1.549	10.767	1600
209	72.0	1.746	10.915	1600
210	72.0	1.712	11.038	1600
211	72.0	1.637	10.948	1600
212	72.0	1.624	10.647	1600
213	72.0	1.711	10.753	1600
214	72.0	1.575	10.626	1600
215	72.0	1.585	10.474	1600
216	72.0	1.581	10.781	1600
217	72.0	1.641	10.835	1600
218	72.0	1.617	10.751	1600
219	72.0	1.586	11.029	1600
220	72.0	1.762	11.186	1600
221	72.0	1.533	10.982	1600
222	72.0	1.712	10.712	1600
223	72.0	1.703	11.199	1600
224	72.0	1.620	11.007	1600
225	72.0	1.726	10.906	1600
226	72.0	1.651	10.882	1600
227	72.0	1.687	10.818	1600
228	72.0	1.719	10.755	1600
229	72.0	1.657	10.814	1600
230	72.0	1.685	10.733	1600
231	72.0	1.684	11.080	1600
232	72.0	1.696	10.984	1600
233	72.0	1.679	10.488	1600
234	72.0	1.623	10.900	1600
235	72.0	1.723	11.248	1600
236	72.0	1.804	11.014	1600
237	72.0	1.645	10.863	1600
238	72.0	1.720	10.886	1600
239	72.0	1.694	10.710	1600
240	72.0	1.610	10.630	1600
241	72.0	1.721	10.585	1600
242	72.0	1.634	10.570	1600
243	72.0	1.715	10.606	1600
244	72.0	1.730	10.515	1600
245	72.0	1.606	10.503	1600
246	72.0	1.584	10.673	1600
247	72.0	1.590	10.520	1600
248	72.0	1.774	11.216	1600
