unix_t	window	hand	tracked	curl_index	curl_middle	curl_ring	curl_pinky	pinch_m	palm_head	cls	hi_pinch	hi_grasp	aim_pinch	aim_menu
1789352116.5078	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1087	0.9867		0	0	0	0
1789352116.5189	rest	L	1	0.0017	0.0014	0.0007	0.0046	0.1092	0.9845		0	0	0	0
1789352116.5189	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1087	0.9866		0	0	0	0
1789352116.5300	rest	L	1	0.0017	0.0014	0.0007	0.0046	0.1092	0.9846		0	0	0	0
1789352116.5300	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1087	0.9867		0	0	0	0
1789352116.5410	rest	L	1	0.0017	0.0014	0.0007	0.0046	0.1092	0.9846		0	0	0	0
1789352116.5410	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1087	0.9868		0	0	0	0
1789352116.5525	rest	L	1	0.0017	0.0014	0.0007	0.0046	0.1092	0.9846		0	0	0	0
1789352116.5525	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1087	0.9868		0	0	0	0
1789352116.5638	rest	L	1	0.0017	0.0014	0.0007	0.0046	0.1092	0.9847		0	0	0	0
1789352116.5638	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1087	0.9869		0	0	0	0
1789352116.5746	rest	L	1	0.0017	0.0014	0.0007	0.0046	0.1092	0.9845		0	0	0	0
1789352116.5746	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1087	0.9870		0	0	0	0
1789352116.5859	rest	L	1	0.0017	0.0014	0.0007	0.0046	0.1092	0.9845		0	0	0	0
1789352116.5859	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1087	0.9870		0	0	0	0
1789352116.5971	rest	L	1	0.0017	0.0014	0.0007	0.0046	0.1093	0.9844		0	0	0	0
1789352116.5971	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1088	0.9871		0	0	0	0
1789352116.6082	rest	L	1	0.0017	0.0014	0.0007	0.0047	0.1092	0.9843		0	0	0	0
1789352116.6082	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1088	0.9871		0	0	0	0
1789352116.6192	rest	L	1	0.0017	0.0014	0.0008	0.0047	0.1092	0.9842		0	0	0	0
1789352116.6192	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1088	0.9872		0	0	0	0
1789352116.6301	rest	L	1	0.0017	0.0013	0.0008	0.0047	0.1092	0.9842		0	0	0	0
1789352116.6301	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1088	0.9872		0	0	0	0
1789352116.6413	rest	L	1	0.0017	0.0013	0.0008	0.0047	0.1092	0.9841		0	0	0	0
1789352116.6413	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1088	0.9873		0	0	0	0
1789352116.6525	rest	L	1	0.0017	0.0014	0.0008	0.0047	0.1092	0.9841		0	0	0	0
1789352116.6525	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1088	0.9873		0	0	0	0
1789352116.6638	rest	L	1	0.0017	0.0014	0.0008	0.0047	0.1092	0.9840		0	0	0	0
1789352116.6638	rest	R	1	0.0013	0.0022	0.0003	0.0046	0.1088	0.9874		0	0	0	0
1789352116.6749	rest	L	1	0.0017	0.0014	0.0008	0.0047	0.1092	0.9840		0	0	0	0
1789352116.6749	rest	R	1	0.0013	0.0022	0.0003	0.0046	0.1087	0.9874		0	0	0	0
1789352116.6859	rest	L	1	0.0017	0.0014	0.0008	0.0047	0.1092	0.9840		0	0	0	0
1789352116.6859	rest	R	1	0.0013	0.0022	0.0003	0.0046	0.1088	0.9874		0	0	0	0
1789352116.6968	rest	L	1	0.0017	0.0014	0.0008	0.0047	0.1092	0.9840		0	0	0	0
1789352116.6968	rest	R	1	0.0013	0.0022	0.0003	0.0046	0.1088	0.9874		0	0	0	0
1789352116.7083	rest	L	1	0.0017	0.0014	0.0008	0.0047	0.1092	0.9840		0	0	0	0
1789352116.7083	rest	R	1	0.0013	0.0022	0.0003	0.0046	0.1088	0.9875		0	0	0	0
1789352116.7192	rest	L	1	0.0017	0.0014	0.0008	0.0047	0.1092	0.9839		0	0	0	0
1789352116.7192	rest	R	1	0.0013	0.0022	0.0003	0.0046	0.1088	0.9875		0	0	0	0
1789352116.7303	rest	L	1	0.0017	0.0014	0.0008	0.0047	0.1092	0.9839		0	0	0	0
1789352116.7303	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1088	0.9876		0	0	0	0
1789352116.7417	rest	L	1	0.0017	0.0014	0.0008	0.0047	0.1093	0.9839		0	0	0	0
1789352116.7417	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1088	0.9876		0	0	0	0
1789352116.7526	rest	L	1	0.0017	0.0014	0.0008	0.0047	0.1093	0.9838		0	0	0	0
1789352116.7526	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1088	0.9877		0	0	0	0
1789352116.7636	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1093	0.9839		0	0	0	0
1789352116.7636	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1088	0.9876		0	0	0	0
1789352116.7747	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1093	0.9839		0	0	0	0
1789352116.7747	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1088	0.9877		0	0	0	0
1789352116.7859	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1093	0.9840		0	0	0	0
1789352116.7859	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1088	0.9877		0	0	0	0
1789352116.7971	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1093	0.9840		0	0	0	0
1789352116.7971	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1087	0.9877		0	0	0	0
1789352116.8082	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1092	0.9840		0	0	0	0
1789352116.8082	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1088	0.9878		0	0	0	0
1789352116.8191	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1092	0.9840		0	0	0	0
1789352116.8191	rest	R	1	0.0013	0.0022	0.0003	0.0047	0.1088	0.9878		0	0	0	0
1789352116.8303	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1092	0.9841		0	0	0	0
1789352116.8303	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1088	0.9879		0	0	0	0
1789352116.8414	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1092	0.9841		0	0	0	0
1789352116.8414	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1088	0.9880		0	0	0	0
1789352116.8526	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1092	0.9841		0	0	0	0
1789352116.8526	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1088	0.9879		0	0	0	0
1789352116.8638	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1092	0.9841		0	0	0	0
1789352116.8638	rest	R	1	0.0013	0.0022	0.0003	0.0048	0.1088	0.9879		0	0	0	0
1789352116.8748	rest	L	1	0.0017	0.0014	0.0008	0.0048	0.1092	0.9841		0	0	0	0
