# секунда	частота	CPU мс	GPU мс	draw calls	клок GPU Гц	unix_время
121	90.0	0.837	6.557	800	-1	1789437414.110
122	90.0	0.815	8.179	800	-1	1789437415.120
123	90.0	0.743	7.657	800	-1	1789437416.121
124	90.0	0.771	8.328	800	-1	1789437417.121
125	90.0	0.787	7.903	800	-1	1789437418.121
126	90.0	0.764	6.715	800	-1	1789437419.122
127	90.0	0.779	6.512	800	-1	1789437420.122
128	90.0	0.872	6.938	800	-1	1789437421.121
129	90.0	0.728	7.782	800	-1	1789437422.122
130	90.0	0.781	7.959	800	-1	1789437423.122
131	90.0	0.775	8.113	800	-1	1789437424.121
132	90.0	0.993	8.209	800	-1	1789437425.132
133	90.0	0.890	8.443	800	-1	1789437426.133
134	90.0	0.837	8.149	800	-1	1789437427.133
135	90.0	0.864	8.151	800	-1	1789437428.132
136	90.0	0.906	7.832	800	-1	1789437429.133
137	90.0	0.888	7.757	800	-1	1789437430.133
138	90.0	0.782	8.251	800	-1	1789437431.133
139	90.0	0.895	7.096	800	-1	1789437432.133
140	90.0	0.785	7.988	800	-1	1789437433.134
141	90.0	0.971	7.013	800	-1	1789437434.133
142	90.0	0.777	7.662	800	-1	1789437435.134
143	90.0	0.789	7.820	800	-1	1789437436.134
144	90.0	0.806	8.379	800	-1	1789437437.134
145	90.0	0.770	8.447	800	-1	1789437438.134
146	90.0	0.807	8.288	800	-1	1789437439.134
147	90.0	0.802	8.460	800	-1	1789437440.134
148	90.0	0.755	8.133	800	-1	1789437441.134
149	90.0	0.798	8.071	800	-1	1789437442.134
150	90.0	0.907	6.647	800	-1	1789437443.135
151	90.0	0.798	6.789	800	-1	1789437444.134
152	90.0	0.829	6.902	800	-1	1789437445.135
153	90.0	0.850	8.496	800	-1	1789437446.145
154	90.0	0.682	6.810	800	-1	1789437447.146
155	90.0	0.864	6.859	800	-1	1789437448.146
156	90.0	0.816	6.468	800	-1	1789437449.147
157	90.0	0.775	6.522	800	-1	1789437450.147
158	90.0	0.833	6.475	800	-1	1789437451.147
159	90.0	1.153	6.830	800	-1	1789437452.147
160	90.0	1.174	6.859	800	-1	1789437453.147
161	90.0	0.844	6.788	800	-1	1789437454.147
162	90.0	0.790	6.525	800	-1	1789437455.147
163	90.0	1.006	6.837	800	-1	1789437456.147
164	90.0	0.809	6.480	800	-1	1789437457.147
165	90.0	0.956	6.831	800	-1	1789437458.147
166	90.0	0.752	6.477	800	-1	1789437459.147
167	90.0	0.958	6.860	800	-1	1789437460.147
168	90.0	0.810	6.777	800	-1	1789437461.147
169	90.0	0.819	6.478	800	-1	1789437462.148
170	90.0	0.804	6.463	800	-1	1789437463.148
171	90.0	0.803	6.783	800	-1	1789437464.148
172	90.0	0.803	6.792	800	-1	1789437465.148
173	90.0	0.835	6.478	800	-1	1789437466.148
174	90.0	0.845	6.523	800	-1	1789437467.148
175	90.0	0.855	6.461	800	-1	1789437468.159
176	90.0	0.831	6.474	800	-1	1789437469.159
177	90.0	0.798	6.462	800	-1	1789437470.159
178	90.0	0.875	6.452	800	-1	1789437471.159
179	90.0	0.828	6.500	800	-1	1789437472.159
180	90.0	0.822	6.480	800	-1	1789437473.159
181	90.0	0.903	6.454	800	-1	1789437474.159
182	90.0	0.879	6.474	800	-1	1789437475.160
183	90.0	0.740	6.508	800	-1	1789437476.160
184	90.0	0.825	6.444	800	-1	1789437477.160
185	90.0	0.789	6.462	800	-1	1789437478.160
186	90.0	1.026	6.820	800	-1	1789437479.160
187	90.0	0.824	6.435	800	-1	1789437480.160
188	90.0	0.775	6.447	800	-1	1789437481.160
189	90.0	0.801	6.524	800	-1	1789437482.171
190	90.0	0.785	6.464	800	-1	1789437483.172
191	90.0	0.760	6.479	800	-1	1789437484.172
192	90.0	0.684	6.464	800	-1	1789437485.172
193	90.0	0.820	6.900	800	-1	1789437486.183
194	90.0	1.057	6.924	800	-1	1789437487.183
195	90.0	0.837	6.470	800	-1	1789437488.193
196	90.0	0.724	6.505	800	-1	1789437489.194
197	90.0	0.872	6.802	800	-1	1789437490.194
198	90.0	1.056	6.837	800	-1	1789437491.194
199	90.0	0.802	6.464	800	-1	1789437492.194
200	90.0	0.705	6.506	800	-1	1789437493.194
201	90.0	0.800	6.462	800	-1	1789437494.194
202	90.0	0.676	7.662	800	-1	1789437495.194
203	90.0	1.023	6.845	800	-1	1789437496.194
204	90.0	1.249	6.811	800	-1	1789437497.194
205	90.0	0.830	6.761	800	-1	1789437498.195
206	90.0	0.808	6.496	800	-1	1789437499.195
207	90.0	0.856	6.460	800	-1	1789437500.206
208	90.0	1.138	6.845	800	-1	1789437501.206
209	90.0	0.813	6.770	800	-1	1789437502.206
210	90.0	0.803	6.445	800	-1	1789437503.207
211	90.0	0.797	6.770	800	-1	1789437504.207
212	90.0	0.827	6.462	800	-1	1789437505.207
213	90.0	0.935	6.467	800	-1	1789437506.207
214	90.0	0.713	7.649	800	-1	1789437507.207
215	90.0	0.793	6.456	800	-1	1789437508.207
216	90.0	0.789	6.576	800	-1	1789437509.218
217	90.0	0.716	6.789	800	-1	1789437510.218
218	90.0	0.814	6.479	800	-1	1789437511.218
219	90.0	0.778	6.523	800	-1	1789437512.218
220	90.0	0.776	6.920	800	-1	1789437513.218
221	90.0	0.828	6.498	800	-1	1789437514.219
222	90.0	0.798	6.499	800	-1	1789437515.219
223	90.0	0.714	6.515	800	-1	1789437516.219
224	90.0	0.792	6.536	800	-1	1789437517.219
225	90.0	1.256	6.876	800	-1	1789437518.229
226	90.0	0.878	6.824	800	-1	1789437519.229
227	90.0	1.203	6.846	800	-1	1789437520.229
228	90.0	0.889	6.766	800	-1	1789437521.229
229	90.0	1.081	6.874	800	-1	1789437522.230
230	90.0	0.845	6.447	800	-1	1789437523.241
231	90.0	0.789	6.437	800	-1	1789437524.241
232	90.0	0.839	6.796	800	-1	1789437525.241
233	90.0	0.856	6.432	800	-1	1789437526.242
234	90.0	0.774	6.420	800	-1	1789437527.242
235	90.0	0.795	6.758	800	-1	1789437528.242
236	90.0	0.782	6.462	800	-1	1789437529.242
237	90.0	0.780	6.487	800	-1	1789437530.242
238	90.0	0.778	6.531	800	-1	1789437531.242
239	90.0	0.796	6.441	800	-1	1789437532.242
240	90.0	0.866	6.502	800	-1	1789437533.242
241	90.0	0.830	6.442	800	-1	1789437534.242
242	90.0	0.972	6.821	800	-1	1789437535.242
243	90.0	0.735	8.041	800	-1	1789437536.242
244	90.0	0.830	6.441	800	-1	1789437537.243
245	90.0	0.893	6.791	800	-1	1789437538.242
246	90.0	0.877	6.467	800	-1	1789437539.243
247	90.0	0.888	6.468	800	-1	1789437540.243
248	90.0	0.820	6.476	800	-1	1789437541.254
249	90.0	0.768	6.444	800	-1	1789437542.254
250	90.0	0.908	6.884	800	-1	1789437543.265
251	90.0	0.859	6.541	800	-1	1789437544.265
252	90.0	0.899	6.447	800	-1	1789437545.277
253	90.0	1.198	6.830	800	-1	1789437546.276
254	90.0	0.760	6.495	800	-1	1789437547.276
255	90.0	1.031	6.795	800	-1	1789437548.276
256	90.0	0.811	6.768	800	-1	1789437549.276
257	90.0	0.709	6.491	800	-1	1789437550.278
258	90.0	0.812	6.455	800	-1	1789437551.288
259	90.0	0.585	7.826	800	-1	1789437552.299
260	90.0	0.821	6.468	800	-1	1789437553.310
261	90.0	0.849	6.466	800	-1	1789437554.310
262	90.0	0.820	6.790	800	-1	1789437555.310
