# unix_начало	unix_конец	серия	режим	проход	направление	N	отрисовок	GPU мед	CPU мед	кадров	к/с	сверх бюджета
1789397010.315	1789397010.822	вызовы	off	1	вниз	350	350	3.985	0.505	27	90.0	0
1789397011.248	1789397011.753	вызовы	off	1	вниз	300	300	5.343	0.528	27	90.0	0
1789397012.182	1789397012.690	вызовы	off	1	вниз	200	200	3.394	0.346	27	89.7	0
1789397013.105	1789397013.624	вызовы	off	1	вниз	100	100	3.206	0.246	28	90.0	0
1789397013.947	1789397014.447	вызовы	off	1	вниз	0	0	2.834	0.116	27	90.0	0
1789397015.058	1789397015.558	инстансы	off	0	вверх	0	0	2.855	0.109	27	90.0	0
1789397015.961	1789397016.469	инстансы	off	0	вверх	25	1	3.263	0.143	27	90.0	0
1789397016.872	1789397017.380	инстансы	off	0	вверх	50	1	3.231	0.150	27	89.7	0
1789397017.794	1789397018.302	инстансы	off	0	вверх	75	1	3.242	0.174	27	89.7	0
1789397018.705	1789397019.213	инстансы	off	0	вверх	100	1	3.220	0.146	27	90.0	0
1789397019.627	1789397020.134	инстансы	off	0	вверх	150	1	3.283	0.167	27	90.0	0
1789397020.549	1789397021.057	инстансы	off	0	вверх	200	1	3.243	0.149	27	90.0	0
1789397021.471	1789397021.980	инстансы	off	0	вверх	400	1	3.217	0.146	27	90.0	0
1789397022.393	1789397022.902	инстансы	off	0	вверх	800	1	3.270	0.153	27	89.7	0
1789397023.316	1789397023.824	инстансы	off	0	вверх	1600	1	3.282	0.146	27	89.7	0
1789397024.238	1789397024.746	инстансы	off	1	вниз	1600	1	3.308	0.161	27	89.7	0
1789397025.160	1789397025.668	инстансы	off	1	вниз	800	1	3.256	0.149	27	90.0	0
1789397026.083	1789397026.601	инстансы	off	1	вниз	400	1	3.172	0.147	28	90.6	0
1789397027.016	1789397027.535	инстансы	off	1	вниз	200	1	3.215	0.153	28	90.0	0
1789397027.949	1789397028.458	инстансы	off	1	вниз	150	1	3.191	0.142	27	90.0	0
1789397028.872	1789397029.379	инстансы	off	1	вниз	100	1	3.223	0.149	27	90.0	0
1789397029.783	1789397030.290	инстансы	off	1	вниз	75	1	3.259	0.148	27	90.0	0
1789397030.705	1789397031.224	инстансы	off	1	вниз	50	1	3.232	0.151	28	90.3	0
1789397031.627	1789397032.146	инстансы	off	1	вниз	25	1	3.268	0.159	28	89.7	0
1789397032.469	1789397032.979	инстансы	off	1	вниз	0	0	3.343	0.119	28	90.3	0
