# unix_время	событие	поверхность	радиус_см	ячейка_см	ячейка_факт_см	уровень_глобуса	вращение_рукой	папка	задание	попадание	мс_от_задания	подробности
# сессия 2026-09-15T23:51:33
1789498388.733	мастер_значение	globe	14.5	2.5	2.54	8	ball					radius_cm=14.5
1789498388.772	мастер_значение	globe	15.0	2.5	2.62	8	ball					radius_cm=15.0
1789498388.792	мастер_значение	globe	15.5	2.5	2.71	8	ball					radius_cm=15.5
1789498388.807	мастер_значение	globe	16.0	2.5	2.8	8	ball					radius_cm=16.0
1789498388.836	мастер_значение	globe	16.5	2.5	2.89	8	ball					radius_cm=16.5
1789498388.853	мастер_значение	globe	16.0	2.5	2.8	8	ball					radius_cm=16.0
1789498388.866	мастер_значение	globe	16.5	2.5	2.89	8	ball					radius_cm=16.5
1789498388.877	мастер_значение	globe	16.0	2.5	2.8	8	ball					radius_cm=16.0
1789498388.888	мастер_значение	globe	16.5	2.5	2.89	8	ball					radius_cm=16.5
1789498389.030	мастер_значение	globe	16.0	2.5	2.8	8	ball					radius_cm=16.0
1789498389.084	мастер_значение	globe	15.5	2.5	2.71	8	ball					radius_cm=15.5
1789498389.103	мастер_значение	globe	16.0	2.5	2.8	8	ball					radius_cm=16.0
1789498389.118	мастер_значение	globe	15.5	2.5	2.71	8	ball					radius_cm=15.5
1789498389.242	мастер_значение	globe	15.0	2.5	2.62	8	ball					radius_cm=15.0
1789498389.353	мастер_значение	globe	14.5	2.5	2.54	8	ball					radius_cm=14.5
1789498389.396	мастер_значение	globe	14.0	2.5	2.45	8	ball					radius_cm=14.0
1789498389.420	мастер_значение	globe	13.5	2.5	2.36	8	ball					radius_cm=13.5
1789498389.432	мастер_значение	globe	14.0	2.5	2.45	8	ball					radius_cm=14.0
1789498389.443	мастер_значение	globe	13.5	2.5	2.36	8	ball					radius_cm=13.5
1789498389.456	мастер_значение	globe	14.0	2.5	2.45	8	ball					radius_cm=14.0
1789498389.518	мастер_значение	globe	14.5	2.5	2.54	8	ball					radius_cm=14.5
1789498389.620	мастер_значение	globe	15.0	2.5	2.62	8	ball					radius_cm=15.0
1789498389.640	мастер_значение	globe	14.5	2.5	2.54	8	ball					radius_cm=14.5
