# секунда	частота	CPU мс	GPU мс	draw calls
188	72.0	1.657	11.120	1600
189	72.0	1.729	10.015	1449
190	72.0	0.420	2.985	104
191	72.0	1.749	11.036	1600
192	72.0	1.753	11.202	1600
193	72.0	1.877	11.358	1600
194	72.0	1.771	11.315	1600
195	72.0	2.085	6.350	1389
196	72.0	1.825	10.950	1600
197	72.0	1.693	11.339	1600
198	72.0	1.782	10.952	1600
199	72.0	1.752	10.938	1600
200	72.0	1.779	10.807	1600
201	72.0	1.696	11.173	1600
202	72.0	1.809	11.333	1600
203	72.0	1.548	10.211	1497
204	72.0	1.714	10.628	1600
205	72.0	1.718	10.676	1600
206	72.0	1.603	10.342	1600
207	72.0	1.730	10.446	1600
208	72.0	1.619	10.491	1600
209	72.0	1.632	10.612	1600
210	72.0	1.562	10.494	1600
211	72.0	1.595	10.471	1600
212	72.0	1.795	11.144	1600
213	72.0	1.733	11.007	1600
214	72.0	1.691	11.142	1600
215	72.0	0.915	4.255	448
216	72.0	0.240	2.608	0
217	72.0	1.795	11.390	1600
218	72.0	1.846	11.444	1600
219	72.0	0.215	2.608	0
220	72.0	0.249	2.608	0
221	72.0	0.222	2.609	0
222	72.0	1.663	11.035	1600
223	72.0	1.637	11.253	1600
224	72.0	1.697	11.290	1600
225	72.0	1.687	11.384	1600
226	72.0	0.529	3.223	196
227	72.0	2.066	10.434	1600
228	72.0	1.548	10.974	1600
229	72.0	1.428	6.057	944
230	72.0	1.007	4.828	656
231	72.0	0.567	3.244	288
232	72.0	1.083	5.429	860
233	72.0	1.844	11.357	1600
234	72.0	1.737	11.464	1600
235	72.0	1.743	10.933	1600
236	72.0	1.715	11.032	1600
237	72.0	1.635	10.989	1600
238	72.0	1.623	11.077	1600
239	72.0	1.658	11.006	1600
240	72.0	1.638	11.089	1600
241	72.0	1.614	11.034	1600
242	72.0	1.667	11.029	1600
243	72.0	1.710	10.990	1600
244	72.0	1.663	11.202	1600
245	72.0	1.689	11.548	1600
246	72.0	1.672	11.074	1600
247	72.0	1.615	8.836	1393
248	72.0	1.501	10.626	1465
249	72.0	1.441	9.772	1341
250	72.0	1.281	6.374	1044
251	72.0	1.875	8.261	1172
252	72.0	1.821	11.331	1589
253	72.0	1.712	11.051	1600
254	72.0	1.744	10.911	1577
255	72.0	1.792	10.963	1600
256	72.0	1.627	11.021	1600
257	72.0	1.710	11.079	1600
258	72.0	1.648	10.988	1600
259	72.0	1.602	11.018	1600
260	72.0	1.631	11.024	1600
261	72.0	1.753	11.057	1600
262	72.0	1.691	11.030	1600
263	72.0	1.627	11.009	1600
264	72.0	1.741	11.055	1600
265	72.0	1.682	11.071	1600
266	72.0	1.704	10.960	1600
267	72.0	1.737	11.041	1600
268	72.0	1.716	11.008	1600
269	72.0	1.778	10.898	1600
270	72.0	1.774	11.188	1600
271	72.0	1.623	10.819	1600
272	72.0	1.696	11.263	1600
273	72.0	1.735	11.394	1600
274	72.0	1.646	11.366	1600
275	72.0	1.583	10.996	1600
276	72.0	1.679	10.948	1600
277	72.0	1.588	11.008	1600
278	72.0	1.654	10.892	1600
279	72.0	1.581	10.895	1600
280	72.0	1.811	11.416	1600
281	72.0	1.676	11.175	1600
282	72.0	1.717	11.334	1600
283	72.0	1.667	10.958	1600
284	72.0	1.627	10.961	1600
285	72.0	1.702	11.031	1600
286	72.0	1.649	11.424	1600
287	72.0	1.733	11.415	1600
288	72.0	1.588	10.763	1565
289	72.0	1.656	10.670	1600
290	72.0	1.757	11.104	1600
291	72.0	1.698	11.002	1600
292	72.0	1.619	11.000	1600
293	72.0	1.637	10.662	1557
294	72.0	1.663	11.073	1600
295	72.0	1.643	10.962	1600
296	72.0	1.710	11.146	1600
297	72.0	1.757	11.084	1600
298	72.0	1.672	11.044	1600
299	72.0	1.762	11.005	1600
300	72.0	1.743	11.054	1600
301	72.0	1.629	11.050	1600
302	72.0	1.512	10.030	1417
303	72.0	1.689	10.853	1513
304	72.0	1.598	11.045	1600
305	72.0	1.655	11.080	1600
306	72.0	1.597	10.509	1525
307	72.0	1.559	10.921	1489
308	72.0	1.663	11.088	1600
309	72.0	1.828	10.989	1600
310	72.0	1.604	11.047	1600
311	72.0	1.724	11.079	1600
312	72.0	1.660	11.044	1600
313	72.0	1.737	11.056	1600
314	72.0	1.770	11.496	1600
315	72.0	1.694	11.009	1600
316	72.0	1.717	10.986	1600
317	72.0	1.643	10.927	1600
318	72.0	1.713	11.485	1600
319	72.0	0.568	3.194	204
320	72.0	1.676	11.139	1600
321	72.0	1.641	11.017	1600
322	72.0	1.776	11.028	1600
323	72.0	1.696	10.911	1600
324	72.0	1.832	10.960	1600
325	72.0	1.612	10.982	1600
326	72.0	1.881	10.919	1600
327	72.0	1.657	10.981	1600
328	72.0	1.639	10.973	1600
329	72.0	1.973	11.369	1600
330	72.0	1.852	10.948	1600
331	72.0	1.662	10.998	1600
332	72.0	1.697	10.993	1600
333	72.0	1.658	11.004	1600
334	72.0	1.660	10.897	1600
335	72.0	1.683	11.003	1600
336	72.0	1.731	10.870	1600
337	72.0	1.732	11.391	1600
338	72.0	1.693	10.937	1600
339	72.0	1.802	11.229	1600
340	72.0	1.840	11.318	1600
341	72.0	1.592	10.932	1600
342	72.0	1.681	10.889	1600
343	72.0	1.647	10.963	1600
344	72.0	1.733	10.941	1600
345	72.0	1.626	10.939	1600
346	72.0	1.874	10.928	1600
347	72.0	1.779	11.391	1600
348	72.0	1.776	10.930	1600
349	72.0	1.690	10.948	1600
350	72.0	1.711	10.861	1600
351	72.0	1.365	11.115	1600
352	72.0	1.846	11.229	1600
353	72.0	1.613	11.253	1600
354	72.0	1.992	10.971	1600
355	72.0	1.628	10.983	1600
356	72.0	1.686	11.346	1600
357	72.0	1.637	10.908	1600
358	72.0	1.668	10.979	1600
359	72.0	1.795	11.428	1600
360	72.0	1.279	10.966	1600
361	72.0	1.660	11.095	1600
362	72.0	1.744	11.195	1600
363	72.0	1.589	11.330	1600
364	72.0	1.643	10.976	1600
365	72.0	1.671	11.184	1600
366	72.0	1.668	11.145	1600
367	72.0	1.675	10.939	1600
368	72.0	0.577	3.424	432
369	72.0	1.639	11.487	1600
370	72.0	1.585	10.714	1600
371	72.0	1.684	11.199	1600
372	72.0	1.664	10.908	1600
373	72.0	1.760	10.914	1600
374	72.0	1.821	11.394	1600
375	72.0	1.614	10.929	1600
376	72.0	1.650	11.209	1600
377	72.0	1.757	11.078	1600
378	72.0	1.741	11.434	1600
379	72.0	1.676	10.997	1600
380	72.0	1.653	11.026	1597
381	72.0	1.735	11.086	1600
382	72.0	1.632	11.183	1600
383	72.0	1.694	11.051	1600
384	72.0	1.630	11.130	1600
385	72.0	1.657	11.191	1600
386	72.0	1.698	11.083	1600
387	72.0	1.601	11.054	1600
388	72.0	1.699	10.905	1600
389	72.0	1.747	11.405	1600
390	72.0	1.640	11.047	1600
391	72.0	1.676	11.318	1600
392	72.0	1.544	10.982	1600
393	72.0	1.631	10.983	1600
394	72.0	1.653	11.000	1600
395	72.0	1.654	10.665	1600
396	72.0	1.567	10.423	1600
397	72.0	1.580	10.565	1600
398	72.0	1.606	10.283	1600
