# сэмплер частоты GPU, период 0.25 с
# лестница: 690000000 640000000 599000000 545000000 492000000 456000000 421000000 350000000 317000000 285000000 
# unix_время	клок_Гц	загрузка_%	резиденция_по_ступеням
1789277849.310160022	492000000	17	0 22488082 24681256 58309433 847318931 1809372616 0 64765 0 733556 
1789277849.602827082	492000000	17	0 22488082 24681256 58309433 847370534 1809372616 0 64765 0 733556 
1789277849.902077373	492000000	17	0 22488082 24681256 58309433 847421308 1809372616 0 64765 0 733556 
1789277850.199870944	492000000	17	0 22488082 24681256 58309433 847471970 1809372616 0 64765 0 733556 
1789277850.494686130	492000000	17	0 22488082 24681256 58309433 847524283 1809372616 0 64765 0 733556 
1789277850.793278086	492000000	17	0 22488082 24681256 58309433 847575269 1809372616 0 64765 0 733556 
1789277851.090459262	492000000	17	0 22488082 24681256 58309433 847626738 1809372616 0 64765 0 733556 
1789277851.395139709	492000000	17	0 22488082 24681256 58309433 847701410 1809372616 0 64765 0 733556 
1789277851.758549433	492000000	19	0 22488082 24681256 58309433 847819781 1809372616 0 64765 0 733556 
1789277852.061156338	492000000	19	0 22488082 24683796 58309433 847917290 1809372616 0 64765 0 733556 
1789277852.364792462	599000000	19	0 22488082 24773639 58309433 847917290 1809372616 0 64765 0 733556 
1789277852.668328117	599000000	32	0 22488082 24865298 58309433 847917290 1809372616 0 64765 0 733556 
1789277852.963710751	599000000	32	0 22488082 24953618 58309433 847917290 1809372616 0 64765 0 733556 
1789277853.252401040	599000000	32	0 22488082 25093463 58309433 847917290 1809372616 0 64765 0 733556 
1789277853.547506538	599000000	43	0 22488082 25272106 58309433 847917290 1809372616 0 64765 0 733556 
1789277853.843241932	599000000	43	0 22488082 25456974 58309433 847917290 1809372616 0 64765 0 733556 
1789277854.144539566	599000000	43	0 22488082 25641455 58309433 847917290 1809372616 0 64765 0 733556 
1789277854.439794335	545000000	43	0 22488082 25652007 58434254 847917290 1809372616 0 64765 0 733556 
1789277854.735410198	545000000	55	0 22488082 25652007 58564000 847917290 1809372616 0 64765 0 733556 
1789277855.031634030	545000000	55	0 22488082 25652007 58693968 847917290 1809372616 0 64765 0 733556 
1789277855.326016663	492000000	55	0 22488082 25652007 58802521 847943254 1809372616 0 64765 0 733556 
1789277855.622680755	492000000	45	0 22488082 25652007 58802521 848080898 1809372616 0 64765 0 733556 
1789277855.922494379	492000000	45	0 22488082 25652007 58802521 848220576 1809372616 0 64765 0 733556 
1789277856.219049304	492000000	45	0 22488082 25652007 58802521 848372885 1809372616 0 64765 0 733556 
1789277856.522684855	456000000	45	0 22488082 25652007 58802521 848445306 1809428909 0 64765 0 733556 
1789277856.824377854	456000000	45	0 22488082 25652007 58802521 848445306 1809538462 0 64765 0 733556 
1789277857.124091269	456000000	45	0 22488082 25652007 58802521 848445306 1809645426 0 64765 0 733556 
1789277857.419270205	456000000	45	0 22488082 25652007 58802521 848445306 1809753645 0 64765 0 733556 
1789277857.715196641	456000000	36	0 22488082 25652007 58802521 848445306 1809860795 0 64765 0 733556 
1789277858.014549431	456000000	36	0 22488082 25652007 58802521 848445306 1809972559 0 64765 0 733556 
1789277858.312823888	456000000	36	0 22488082 25652007 58802521 848445306 1810061606 0 64765 0 733556 
1789277858.611702563	456000000	36	0 22488082 25652007 58802521 848445306 1810189507 0 64765 0 733556 
1789277858.913782333	456000000	36	0 22488082 25652007 58802521 848445306 1810320448 0 64765 0 733556 
1789277859.220865957	456000000	36	0 22488082 25652007 58802521 848445306 1810452737 0 64765 0 733556 
1789277859.526615675	456000000	36	0 22488082 25652007 58802521 848445306 1810585973 0 64765 0 733556 
1789277859.830404455	456000000	43	0 22488082 25652007 58802521 848445306 1810720825 0 64765 0 733556 
1789277860.142243393	456000000	43	0 22488082 25652007 58802521 848445306 1810852650 0 64765 0 733556 
1789277860.450229361	456000000	43	0 22488082 25652007 58802521 848445306 1810986247 0 64765 0 733556 
1789277860.750676214	456000000	43	0 22488082 25652007 58802521 848445306 1811116303 0 64765 0 733556 
1789277861.055191452	456000000	43	0 22488082 25652007 58802521 848445306 1811236880 0 64765 0 733556 
