# unix_время	событие	поверхность	радиус_см	ячейка_см	ячейка_факт_см	уровень_глобуса	вращение_рукой	ввод	профиль	папка	задание	попадание	мс_от_задания	подробности
# сессия 2026-09-20T11:28:12
1789885770.696	самопроверка	globe	20.0	1.5	3.52	13	face	controllers	p18fd0f41789e			PASS		{ "глобус уровень 13, 632 ячеек, вращение": { "gpu95": 2.19300007820129, "cpu95": 0.19699999690056, "proc95": 1.962, "over": 0 }, "глобус крупный: уровень 1, 32 ячеек, радиус 20.0 см, вращение": { "gpu95": 1.92900002002716, "cpu95": 0.18400000035763, "proc95": 1.867, "over": 0 }, "линза α=0.037, 700 ячеек, вращение": { "gpu95": 2.96399998664856, "cpu95": 0.36199998855591, "proc95": 6.765, "over": 0 }, "pin_ms": 40.064 }
1789885770.697	ввод_готов	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e					controllers
1789885773.607	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e					{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789885773.607	toggle	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e					{ "open": true }
1789885781.610	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	settings				{ "folder": "settings", "view": "browse", "items": 5, "total": 5, "page": 1, "pages": 1 }
1789885781.610	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	settings				{ "do": "reload", "view": "browse", "folder": "settings" }
1789885783.953	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				{ "folder": "profile", "view": "browse", "items": 7, "total": 7, "page": 1, "pages": 1 }
1789885783.954	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				{ "do": "reload", "view": "browse", "folder": "profile" }
1789885787.664	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				{ "do": "profile", "view": "browse", "folder": "profile", "action": "profile_pin" }
1789885791.817	профиль_pin	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				задан
1789885791.818	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				{ "folder": "profile", "view": "browse", "items": 7, "total": 7, "page": 1, "pages": 1 }
1789885791.818	панель_кнопка	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				профиль: done
1789885794.875	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_switch				{ "folder": "profile_switch", "view": "browse", "items": 2, "total": 2, "page": 1, "pages": 1 }
1789885794.875	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_switch				{ "do": "reload", "view": "browse", "folder": "profile_switch" }
1789885796.276	клавиатура	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_switch				show
1789885796.276	intent	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_switch				{ "do": "profile", "view": "browse", "folder": "profile_switch", "action": "profile_new" }
1789885796.681	сессия_openxr	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_switch				session_visible кадр 9161
1789885816.488	клавиатура	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_switch				hide
1789885816.488	клавиатура	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_switch				enter
1789885816.545	сессия_openxr	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_switch				session_focussed кадр 10948
1789885821.498	клавиатура	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_switch				hide
1789885821.511	folder	globe	11.0	2.5	2.47	10	ball	controllers	p35c466c7496e	profile_switch				{ "folder": "profile_switch", "view": "browse", "items": 2, "total": 2, "page": 1, "pages": 1 }
1789885821.512	folder	globe	11.0	2.5	2.47	10	ball	controllers	p35c466c7496e	profile_switch				{ "folder": "profile_switch", "view": "browse", "items": 2, "total": 2, "page": 1, "pages": 1 }
1789885821.513	folder	globe	11.0	2.5	2.47	10	ball	controllers	p35c466c7496e	profile_switch				{ "folder": "profile_switch", "view": "browse", "items": 2, "total": 2, "page": 1, "pages": 1 }
1789885821.513	профиль_открыт	globe	11.0	2.5	2.47	10	ball	controllers	p35c466c7496e	profile_switch				Second Profile
1789885821.514	профиль_создан	globe	11.0	2.5	2.47	10	ball	controllers	p35c466c7496e	profile_switch				Second Profile
1789885821.514	панель_кнопка	globe	11.0	2.5	2.47	10	ball	controllers	p35c466c7496e	profile_switch				профиль: done
1789885827.967	folder	globe	11.0	2.5	2.47	10	ball	controllers	p35c466c7496e	profile				{ "folder": "profile", "view": "browse", "items": 8, "total": 8, "page": 1, "pages": 1 }
1789885827.968	intent	globe	11.0	2.5	2.47	10	ball	controllers	p35c466c7496e	profile				{ "do": "reload", "view": "browse", "folder": "profile" }
1789885830.022	folder	globe	11.0	2.5	2.47	10	ball	controllers	p35c466c7496e	profile_switch				{ "folder": "profile_switch", "view": "browse", "items": 3, "total": 3, "page": 1, "pages": 1 }
1789885830.022	intent	globe	11.0	2.5	2.47	10	ball	controllers	p35c466c7496e	profile_switch				{ "do": "reload", "view": "browse", "folder": "profile_switch" }
1789885832.968	intent	globe	11.0	2.5	2.47	10	ball	controllers	p35c466c7496e	profile_switch				{ "do": "profile", "view": "browse", "folder": "profile_switch", "action": "profile_open:p18fd0f41789e" }
1789885836.941	профиль_pin_проверка	globe	11.0	2.5	2.47	10	ball	controllers	p35c466c7496e	profile_switch				Основной: ok
1789885836.945	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_switch				{ "folder": "profile_switch", "view": "browse", "items": 3, "total": 3, "page": 1, "pages": 1 }
1789885836.945	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_switch				{ "folder": "profile_switch", "view": "browse", "items": 3, "total": 3, "page": 1, "pages": 1 }
1789885836.946	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_switch				{ "folder": "profile_switch", "view": "browse", "items": 3, "total": 3, "page": 1, "pages": 1 }
1789885836.946	профиль_открыт	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_switch				Основной
1789885836.946	панель_кнопка	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile_switch				профиль: done
1789885841.823	folder	globe	14.5	6.7	6.85	3	face	controllers	p18fd0f41789e	profile				{ "folder": "profile", "view": "browse", "items": 8, "total": 8, "page": 1, "pages": 1 }
