# unix_время	событие	поверхность	радиус_см	ячейка_см	ячейка_факт_см	уровень_глобуса	вращение_рукой	ввод	профиль	папка	задание	попадание	мс_от_задания	подробности
# сессия 2026-09-19T19:18:52
1789827532.205	настройки_загружены	globe	14.5	8.4	7.57	2	ball	controllers						перенесены из user://sphere_settings.cfg; отвергнуто []
1789827532.251	сессия_openxr	globe	14.5	8.4	7.57	2	ball	controllers						session_begun кадр 0
1789827532.838	сессия_openxr	globe	14.5	8.4	7.57	2	ball	controllers						session_visible кадр 1
1789827532.838	сессия_openxr	globe	14.5	8.4	7.57	2	ball	controllers						session_focussed кадр 1
1789827533.000	модели_контроллеров	globe	14.5	8.4	7.57	2	ball	controllers						запасные
1789827533.893	folder	globe	20.0	1.5	3.52	13	ball	controllers						{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789827533.893	toggle	globe	20.0	1.5	3.52	13	ball	controllers						{ "open": true }
1789827538.263	folder	globe	20.0	15.0	15.07	1	ball	controllers						{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789827542.775	folder	lens	20.0	1.5	1.5	13	ball	controllers						{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789827547.297	folder	globe_hex	20.0	1.5	3.52	13	ball	controllers						{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789827551.904	folder	octa	20.0	1.5	3.65	21	ball	controllers						{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789827556.486	folder	rings	20.0	1.5	3.29	16	ball	controllers						{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789827561.110	folder	fib	20.0	1.5	3.47	27	ball	controllers						{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789827565.668	folder	fib	8.0	1.5	1.49	26	ball	controllers						{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789827565.668	настройка_значение	fib	8.0	1.5	1.49	26	ball	controllers						radius_cm=8.0
1789827565.688	folder	fib	17.5	1.5	3.04	27	ball	controllers						{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789827565.689	настройка_значение	fib	17.5	1.5	3.04	27	ball	controllers						radius_cm=17.5
1789827565.706	folder	fib	20.0	1.5	3.47	27	ball	controllers						{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789827565.777	folder	globe	20.0	1.5	3.52	13	ball	controllers						{ "folder": "", "view": "browse", "items": 6, "total": 6, "page": 1, "pages": 1 }
1789827601.066	folder	globe	20.0	1.5	3.52	13	ball	controllers		files				{ "folder": "files", "view": "browse", "items": 5, "total": 5, "page": 1, "pages": 1 }
1789827601.066	intent	globe	20.0	1.5	3.52	13	ball	controllers		files				{ "do": "reload", "view": "browse", "folder": "files" }
1789827601.078	folder	globe	20.0	1.5	3.52	13	ball	controllers		bulk				{ "folder": "bulk", "view": "browse", "items": 128, "total": 128, "page": 1, "pages": 1 }
